"Parameter","Year","Age","ParamName","median","lCI","uCI"
"Mu.immR",NA,NA,"Mu.immR",0.106940120596979,0.078934819022192,0.140234483769374
"Mu.mH[1]",NA,"0","Mu.mH",0.221132489962133,0.110414452089378,0.344245350489388
"Mu.mH[2]",NA,"1","Mu.mH",0.298183563517537,0.146311516519324,0.46137544234249
"Mu.mH[3]",NA,"2","Mu.mH",0.298183563517537,0.146311516519324,0.46137544234249
"Mu.mH[4]",NA,"3","Mu.mH",0.298183563517537,0.146311516519324,0.46137544234249
"Mu.mH[5]",NA,"4+","Mu.mH",0.298183563517537,0.146311516519324,0.46137544234249
"Mu.mO[1]",NA,"0","Mu.mO",1.04352195403718,0.612081077162626,1.51516522908812
"Mu.mO[2]",NA,"1","Mu.mO",0.251562975400213,0.0298304882757671,0.591898927489841
"Mu.mO[3]",NA,"2","Mu.mO",0.274349848204594,0.0338305901464725,0.591751550340086
"Mu.mO[4]",NA,"3","Mu.mO",0.681632895565826,0.242190276229781,1.32911190120627
"Mu.mO[5]",NA,"4+","Mu.mO",0.223542561280084,0.0483941201678462,0.428124035250321
"Mu.rho[1]",NA,"0","Mu.rho",0,0,0
"Mu.rho[2]",NA,"1","Mu.rho",4.46057754291463,3.98290266260592,4.98750778723314
"Mu.rho[3]",NA,"2","Mu.rho",4.85746058775002,4.3316202315559,5.4706562850334
"Mu.rho[4]",NA,"3","Mu.rho",5.56062757612648,4.91087866886823,6.24999989392998
"Mu.rho[5]",NA,"4+","Mu.rho",5.20105728039635,4.66171571421507,5.78458804765525
"N.tot[10]",2013,NA,"N.tot",536,310,1265
"N.tot[11]",2014,NA,"N.tot",491,304,1028.025
"N.tot[12]",2015,NA,"N.tot",836,497,1881.07499999999
"N.tot[13]",2016,NA,"N.tot",828,518,1839.025
"N.tot[14]",2017,NA,"N.tot",603,363.975,1302.025
"N.tot[15]",2018,NA,"N.tot",705,426,1599
"N.tot[16]",2019,NA,"N.tot",711,434,1866.025
"N.tot[17]",2020,NA,"N.tot",467,265,1090
"N.tot[18]",2021,NA,"N.tot",341,194,700
"N.tot[19]",2022,NA,"N.tot",429,248,1010
"N.tot[1]",2004,NA,"N.tot",370,213,935
"N.tot[20]",2023,NA,"N.tot",731,391,1772.025
"N.tot[21]",2024,NA,"N.tot",901,343,1694.025
"N.tot[2]",2005,NA,"N.tot",406,252,880
